"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",51,51,100.0,51,15,29.4,"*","*",17,33.3,9,17.6,"*","*","*","*"
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",83,83,100.0,83,11,13.3,18,21.7,15,18.1,32,38.6,7,8.4,39,47.0
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",100,100,100.0,100,30,30.0,"*","*",24,24.0,28,28.0,"*","*","*","*"
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",54,54,100.0,54,19,35.2,14,25.9,12,22.2,9,16.7,0,0.0,9,16.7
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",105,105,100.0,105,"*","*",22,21.0,33,31.4,27,25.7,"*","*","*","*"
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",66,66,100.0,66,30,45.5,19,28.8,11,16.7,6,9.1,0,0.0,6,9.1
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",101,101,100.0,101,32,31.7,22,21.8,29,28.7,"*","*","*","*",18,17.8
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",118,118,100.0,118,23,19.5,29,24.6,23,19.5,34,28.8,9,7.6,43,36.4
"Waterbury School District","=""1510011""","Regan School","=""1512811""",49,49,100.0,49,"*","*",10,20.4,14,28.6,14,28.6,"*","*","*","*"
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",86,86,100.0,86,"*","*",16,18.6,21,24.4,38,44.2,"*","*","*","*"
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",48,48,100.0,48,"*","*",17,35.4,9,18.8,12,25.0,"*","*","*","*"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",96,96,100.0,96,"*","*",14,14.6,24,25.0,44,45.8,"*","*","*","*"
"Waterbury School District","=""1510011""","Reed School","=""1513411""",80,80,100.0,80,32,40.0,17,21.3,15,18.8,"*","*","*","*",16,20.0
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",31,31,100.0,31,27,87.1,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",107,107,100.0,107,21,19.6,"*","*",17,15.9,55,51.4,"*","*","*","*"
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",371,362,97.6,362,145,40.1,55,15.2,71,19.6,83,22.9,8,2.2,91,25.1
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",314,312,99.4,312,124,39.7,47,15.1,68,21.8,65,20.8,8,2.6,73,23.4
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",115,113,98.3,112,8,7.1,19,17.0,53,47.3,22,19.6,10,8.9,32,28.6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",279,268,96.1,263,108,41.1,78,29.7,62,23.6,"*","*","*","*",15,5.7
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",273,266,97.4,265,137,51.7,57,21.5,54,20.4,11,4.2,6,2.3,17,6.4
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",301,292,97.0,290,111,38.3,88,30.3,63,21.7,18,6.2,10,3.4,28,9.7
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",232,232,100.0,232,18,7.8,41,17.7,103,44.4,35,15.1,35,15.1,70,30.2
"Waterbury School District","=""1510011""","State Street School","=""1519011""",19,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",59,48,81.4,42,31,73.8,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Waterbury School District","=""1510011""","Bridgeport Detention Center","=""3480115""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",63,63,100.0,63,"*","*","*","*",16,25.4,27,42.9,12,19.0,39,61.9
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",68,67,98.5,67,"*","*","*","*",12,17.9,37,55.2,12,17.9,49,73.1
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",66,66,100.0,66,"*","*","*","*",12,18.2,36,54.5,12,18.2,48,72.7
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",231,231,100.0,231,17,7.4,13,5.6,34,14.7,131,56.7,36,15.6,167,72.3
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",210,205,97.6,205,11,5.4,12,5.9,70,34.1,47,22.9,65,31.7,112,54.6
"Watertown School District","=""1530011""","Bridgeport Detention Center","=""3480115""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",89,89,100.0,89,"*","*","*","*",19,21.3,42,47.2,18,20.2,60,67.4
"Watertown School District","=""1530011""","Polk School","=""1530411""",121,121,100.0,121,7,5.8,8,6.6,25,20.7,58,47.9,23,19.0,81,66.9
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",221,221,100.0,221,16,7.2,17,7.7,41,18.6,126,57.0,21,9.5,147,66.5
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",208,199,95.7,199,6,3.0,17,8.5,73,36.7,54,27.1,49,24.6,103,51.8
"West Hartford School District","=""1550011""","Smith School","=""1551711""",60,60,100.0,60,"*","*","*","*",10,16.7,27,45.0,18,30.0,45,75.0
"West Hartford School District","=""1550011""","REACH","=""1557311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",57,57,100.0,57,"*","*","*","*",7,12.3,22,38.6,24,42.1,46,80.7
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",79,79,100.0,79,0,0.0,"*","*","*","*",43,54.4,24,30.4,67,84.8
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",52,52,100.0,52,7,13.5,6,11.5,11,21.2,16,30.8,12,23.1,28,53.8
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",85,85,100.0,85,"*","*","*","*",12,14.1,38,44.7,29,34.1,67,78.8
"West Hartford School District","=""1550011""","Morley School","=""1550911""",59,58,98.3,58,"*","*","*","*",8,13.8,22,37.9,22,37.9,44,75.9
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",65,65,100.0,65,"*","*","*","*","*","*",44,67.7,11,16.9,55,84.6
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",70,69,98.6,69,"*","*","*","*",15,21.7,37,53.6,8,11.6,45,65.2
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",78,78,100.0,78,"*","*","*","*",10,12.8,39,50.0,21,26.9,60,76.9
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",73,73,100.0,73,"*","*","*","*",12,16.4,36,49.3,20,27.4,56,76.7
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",70,70,100.0,70,"*","*","*","*",12,17.1,34,48.6,17,24.3,51,72.9
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",279,277,99.3,277,15,5.4,21,7.6,39,14.1,128,46.2,74,26.7,202,72.9
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",262,257,98.1,257,25,9.7,18,7.0,32,12.5,121,47.1,61,23.7,182,70.8
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",139,139,100.0,139,"*","*","*","*",18,12.9,61,43.9,50,36.0,111,79.9
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",365,361,98.9,361,"*","*","*","*",67,18.6,77,21.3,200,55.4,277,76.7
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",342,341,99.7,341,8,2.3,13,3.8,45,13.2,68,19.9,207,60.7,275,80.6
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",15,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","PACE","=""1560211""",10,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended","=""1560711""",13,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",424,422,99.5,422,102,24.2,56,13.3,90,21.3,142,33.6,32,7.6,174,41.2
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",484,482,99.6,482,30,6.2,62,12.9,131,27.2,197,40.9,62,12.9,259,53.7
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",360,356,98.9,355,44,12.4,49,13.8,127,35.8,63,17.7,72,20.3,135,38.0
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",113,113,100.0,113,"*","*","*","*",17,15.0,52,46.0,37,32.7,89,78.8
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",90,90,100.0,90,"*","*","*","*",37,41.1,24,26.7,20,22.2,44,48.9
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""","*","*","*","*",0,0.0,"*","*","*","*",75,41.7,85,47.2,160,88.9
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",184,182,98.9,182,"*","*","*","*",21,11.5,110,60.4,"*","*","*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",206,201,97.6,201,"*","*","*","*",42,20.9,"*","*",102,50.7,"*","*"
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",91,91,100.0,91,0,0.0,"*","*","*","*",40,44.0,40,44.0,80,87.9
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",79,79,100.0,79,0,0.0,"*","*","*","*",45,57.0,26,32.9,71,89.9
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",75,75,100.0,75,0,0.0,"*","*","*","*",38,50.7,19,25.3,57,76.0
"Westport School District","=""1580011""","Long Lots School","=""1580711""",113,113,100.0,113,"*","*",0,0.0,"*","*",61,54.0,49,43.4,110,97.3
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",94,93,98.9,93,0,0.0,"*","*","*","*",47,50.5,29,31.2,76,81.7
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",282,279,98.9,279,"*","*","*","*",28,10.0,144,51.6,97,34.8,241,86.4
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",172,170,98.8,170,"*","*","*","*",18,10.6,88,51.8,56,32.9,144,84.7
"Westport School District","=""1580011""","Staples High School","=""1586111""",477,468,98.1,468,"*","*","*","*",99,21.2,102,21.8,253,54.1,355,75.9
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",50,50,100.0,50,0,0.0,"*","*","*","*",25,50.0,12,24.0,37,74.0
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",51,51,100.0,51,"*","*","*","*",8,15.7,24,47.1,16,31.4,40,78.4
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",54,54,100.0,54,"*","*","*","*",10,18.5,25,46.3,12,22.2,37,68.5
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",63,63,100.0,63,0,0.0,"*","*","*","*",28,44.4,22,34.9,50,79.4
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",39,39,100.0,39,"*","*","*","*",9,23.1,17,43.6,8,20.5,25,64.1
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",277,276,99.6,276,26,9.4,21,7.6,51,18.5,132,47.8,46,16.7,178,64.5
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",311,299,96.1,299,11,3.7,21,7.0,97,32.4,80,26.8,90,30.1,170,56.9
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",85,84,98.8,84,"*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",342,330,96.5,330,"*","*",7,2.1,25,7.6,158,47.9,135,40.9,293,88.8
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",342,340,99.4,340,"*","*","*","*",52,15.3,183,53.8,89,26.2,272,80.0
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",338,331,97.9,329,"*","*","*","*",54,16.4,88,26.7,180,54.7,268,81.5
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",88,88,100.0,88,"*","*",17,19.3,18,20.5,37,42.0,"*","*","*","*"
"Windham School District","=""1630011""","Natchaug School","=""1630111""",46,46,100.0,46,10,21.7,17,37.0,9,19.6,10,21.7,0,0.0,10,21.7
"Windham School District","=""1630011""","North Windham School","=""1630311""",58,58,100.0,58,18,31.0,13,22.4,"*","*",14,24.1,"*","*","*","*"
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",115,115,100.0,115,11,9.6,11,9.6,21,18.3,54,47.0,18,15.7,72,62.6
"Windham School District","=""1630011""","Windham Center School","=""1630511""",43,43,100.0,43,12,27.9,10,23.3,9,20.9,12,27.9,0,0.0,12,27.9
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",43,42,97.7,42,11,26.2,"*","*",10,23.8,10,23.8,"*","*","*","*"
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",193,190,98.4,190,87,45.8,33,17.4,"*","*",36,18.9,"*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",136,127,93.4,127,42,33.1,29,22.8,33,26.0,14,11.0,9,7.1,23,18.1
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",130,130,100.0,130,11,8.5,20,15.4,38,29.2,38,29.2,23,17.7,61,46.9
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",111,110,99.1,110,9,8.2,12,10.9,32,29.1,47,42.7,10,9.1,57,51.8
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",106,104,98.1,104,7,6.7,12,11.5,44,42.3,27,26.0,14,13.5,41,39.4
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",89,89,100.0,89,6,6.7,16,18.0,18,20.2,32,36.0,17,19.1,49,55.1
"Windsor School District","=""1640011""","Spark","=""1640311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Expulsion","=""1640411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",143,142,99.3,142,25,17.6,"*","*",33,23.2,61,43.0,"*","*","*","*"
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",247,245,99.2,245,34,13.9,35,14.3,40,16.3,97,39.6,39,15.9,136,55.5
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",297,284,95.6,284,20,7.0,46,16.2,99,34.9,53,18.7,66,23.2,119,41.9
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""",66,66,100.0,66,0,0.0,0,0.0,7,10.6,23,34.8,36,54.5,59,89.4
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",75,75,100.0,75,"*","*","*","*",12,16.0,40,53.3,15,20.0,55,73.3
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",38,38,100.0,38,"*","*","*","*",8,21.1,19,50.0,9,23.7,28,73.7
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",233,233,100.0,233,14,6.0,10,4.3,26,11.2,127,54.5,56,24.0,183,78.5
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",186,185,99.5,185,8,4.3,12,6.5,71,38.4,44,23.8,50,27.0,94,50.8
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",95,95,100.0,95,"*","*","*","*","*","*",33,34.7,56,58.9,89,93.7
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",245,244,99.6,244,11,4.5,20,8.2,65,26.6,55,22.5,93,38.1,148,60.7
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",209,208,99.5,208,"*","*","*","*",18,8.7,116,55.8,61,29.3,177,85.1

