"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",52,52,100.0,52,"*","*",0,0.0,"*","*",32,61.5,16,30.8,48,92.3
"Cheshire School District","=""0250011""","Highland School","=""0250411""",130,130,100.0,130,"*","*","*","*",17,13.1,59,45.4,48,36.9,107,82.3
"Cheshire School District","=""0250011""","Norton School","=""0250511""",72,71,98.6,71,0,0.0,"*","*","*","*",25,35.2,40,56.3,65,91.5
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",93,93,100.0,93,"*","*","*","*",18,19.4,44,47.3,24,25.8,68,73.1
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",354,352,99.4,352,11,3.1,17,4.8,37,10.5,188,53.4,99,28.1,287,81.5
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",340,336,98.8,333,"*","*","*","*",87,26.1,107,32.1,123,36.9,230,69.1
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",176,176,100.0,176,"*","*","*","*",35,19.9,82,46.6,46,26.1,128,72.7
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",160,159,99.4,159,"*","*","*","*",23,14.5,78,49.1,40,25.2,118,74.2
